"class","survived","sex","age","silbings","parents","embarked","body"
1,1,female,29.0,0,0,S,
1,1,male,1.0,1,2,S,
1,0,female,2.0,1,2,S,
1,0,male,30.0,1,2,S,135
1,0,female,25.0,1,2,S,
1,1,male,48.0,0,0,S,
1,1,female,63.0,1,0,S,
1,0,male,39.0,0,0,S,
1,1,female,53.0,2,0,S,
1,0,male,71.0,0,0,C,22
1,0,male,47.0,1,0,C,124
1,1,female,18.0,1,0,C,
1,1,female,24.0,0,0,C,
1,1,female,26.0,0,0,S,
1,1,male,80.0,0,0,S,
1,0,male,24.0,0,1,C,
1,1,female,50.0,0,1,C,
1,1,female,32.0,0,0,C,
1,0,male,36.0,0,0,C,
1,1,male,37.0,1,1,S,
1,1,female,47.0,1,1,S,
1,1,male,26.0,0,0,C,
1,1,female,42.0,0,0,C,
1,1,female,29.0,0,0,S,
1,0,male,25.0,0,0,C,148
1,1,male,25.0,1,0,C,
1,1,female,19.0,1,0,C,
1,1,female,35.0,0,0,S,
1,1,male,28.0,0,0,S,
1,0,male,45.0,0,0,S,
1,1,male,40.0,0,0,C,
1,1,female,30.0,0,0,S,
1,1,female,58.0,0,0,S,
1,0,male,42.0,0,0,S,
1,1,female,45.0,0,0,C,
1,1,female,22.0,0,1,S,
1,0,male,41.0,0,0,S,
1,0,male,48.0,0,0,C,208
1,1,female,44.0,0,0,C,
1,1,female,59.0,2,0,S,
1,1,female,60.0,0,0,C,
1,1,female,41.0,0,0,C,
1,0,male,45.0,0,0,S,
1,1,male,42.0,0,0,S,
1,1,female,53.0,0,0,C,
1,1,male,36.0,0,1,C,
1,1,female,58.0,0,1,C,
1,0,male,33.0,0,0,S,
1,0,male,28.0,0,0,S,
1,0,male,17.0,0,0,S,
1,1,male,11.0,1,2,S,
1,1,female,14.0,1,2,S,
1,1,male,36.0,1,2,S,
1,1,female,36.0,1,2,S,
1,0,male,49.0,0,0,S,
1,0,male,36.0,1,0,S,172
1,1,female,76.0,1,0,S,
1,0,male,46.0,1,0,S,
1,1,female,47.0,1,0,S,
1,1,male,27.0,1,0,S,
1,1,female,33.0,1,0,S,
1,1,female,36.0,0,0,C,
1,1,female,30.0,0,0,S,
1,1,male,45.0,0,0,C,
1,0,male,27.0,1,0,C,
1,1,female,26.0,1,0,C,
1,1,female,22.0,0,0,S,
1,0,male,47.0,0,0,S,
1,1,female,39.0,1,1,C,
1,0,male,37.0,1,1,C,
1,1,female,64.0,0,2,C,
1,1,female,55.0,2,0,S,
1,0,male,70.0,1,1,S,269
1,1,female,36.0,0,2,S,
1,1,female,64.0,1,1,S,
1,0,male,39.0,1,0,C,
1,1,female,38.0,1,0,C,
1,1,male,51.0,0,0,S,
1,1,male,27.0,0,0,S,
1,1,female,33.0,0,0,S,
1,0,male,31.0,1,0,S,
1,1,female,27.0,1,2,S,
1,1,male,31.0,1,0,S,
1,1,female,17.0,1,0,S,
1,1,male,53.0,1,1,S,
1,1,male,4.0,0,2,S,
1,1,female,54.0,1,1,S,
1,0,male,50.0,1,0,C,62
1,1,female,27.0,1,1,C,
1,1,female,48.0,1,0,C,
1,1,female,48.0,1,0,C,
1,1,male,49.0,1,0,C,
1,0,male,39.0,0,0,C,133
1,1,female,23.0,0,1,C,
1,1,female,38.0,0,0,C,
1,1,female,54.0,1,0,C,
1,0,female,36.0,0,0,C,
1,1,male,36.0,0,0,S,
1,0,male,30.0,0,0,C,
1,1,female,24.0,3,2,S,
1,1,female,28.0,3,2,S,
1,1,female,23.0,3,2,S,
1,0,male,19.0,3,2,S,
1,0,male,64.0,1,4,S,
1,1,female,60.0,1,4,S,
1,1,female,30.0,0,0,C,
1,1,male,50.0,2,0,S,
1,1,male,43.0,1,0,C,
1,1,female,22.0,0,2,C,
1,1,male,60.0,1,1,C,
1,1,female,48.0,1,1,C,
1,0,male,37.0,1,0,S,
1,1,female,35.0,1,0,S,
1,0,male,47.0,0,0,S,275
1,1,female,35.0,0,0,C,
1,1,female,22.0,0,1,C,
1,1,female,45.0,0,1,C,
1,0,male,24.0,0,0,C,
1,1,male,49.0,1,0,C,
1,0,male,71.0,0,0,C,
1,1,male,53.0,0,0,C,
1,1,female,19.0,0,0,S,
1,0,male,38.0,0,1,S,147
1,1,female,58.0,0,1,S,
1,1,male,23.0,0,1,C,
1,1,female,45.0,0,1,C,
1,0,male,46.0,0,0,C,
1,1,male,25.0,1,0,C,
1,1,female,25.0,1,0,C,
1,1,male,48.0,1,0,C,
1,1,female,49.0,1,0,C,
1,0,male,45.0,1,0,S,
1,1,female,35.0,1,0,S,
1,0,male,40.0,0,0,S,110
1,1,male,27.0,0,0,C,
1,1,female,24.0,0,0,C,
1,0,male,55.0,1,1,S,307
1,1,female,52.0,1,1,S,
1,0,male,42.0,0,0,S,
1,0,male,55.0,0,0,S,
1,1,female,16.0,0,1,C,
1,1,female,44.0,0,1,C,
1,1,female,51.0,1,0,S,
1,0,male,42.0,1,0,S,38
1,1,female,35.0,1,0,S,
1,1,male,35.0,0,0,C,
1,1,male,38.0,1,0,S,
1,1,female,35.0,1,0,S,
1,1,female,38.0,0,0,"",
1,0,female,50.0,0,0,C,
1,1,male,49.0,0,0,S,
1,0,male,46.0,0,0,S,80
1,0,male,50.0,0,0,S,
1,0,male,32.0,0,0,C,45
1,0,male,58.0,0,0,C,258
1,0,male,41.0,1,0,S,
1,1,male,42.0,1,0,S,
1,1,female,45.0,1,0,S,
1,1,female,39.0,0,0,S,
1,1,female,49.0,0,0,S,
1,1,female,30.0,0,0,C,
1,1,male,35.0,0,0,C,
1,0,male,42.0,0,0,S,
1,1,female,55.0,0,0,C,
1,1,female,16.0,0,1,S,
1,1,female,51.0,0,1,S,
1,0,male,29.0,0,0,S,126
1,1,female,21.0,0,0,S,
1,0,male,30.0,0,0,S,
1,1,female,58.0,0,0,C,
1,1,female,15.0,0,1,S,
1,0,male,30.0,0,0,S,
1,1,female,16.0,0,0,S,
1,0,male,19.0,1,0,S,
1,1,female,18.0,1,0,S,
1,1,female,24.0,0,0,C,
1,0,male,46.0,0,0,C,292
1,0,male,54.0,0,0,S,175
1,1,male,36.0,0,0,S,
1,0,male,28.0,1,0,C,
1,0,male,65.0,0,0,S,249
1,0,male,44.0,2,0,Q,230
1,1,female,33.0,1,0,Q,
1,1,female,37.0,1,0,Q,
1,1,male,30.0,1,0,C,
1,0,male,55.0,0,0,S,
1,0,male,47.0,0,0,S,
1,0,male,37.0,0,1,C,
1,1,female,31.0,1,0,C,
1,1,female,23.0,1,0,C,
1,0,male,58.0,0,2,C,122
1,1,female,19.0,0,2,S,
1,0,male,64.0,0,0,S,263
1,1,female,39.0,0,0,C,
1,1,female,22.0,0,1,C,
1,0,male,65.0,0,1,C,234
1,0,male,28.0,0,0,C,189
1,0,male,46.0,0,0,S,166
1,0,male,23.0,0,0,S,
1,0,male,29.0,1,0,S,
1,1,female,22.0,1,0,S,
1,0,male,18.0,1,0,C,
1,1,female,17.0,1,0,C,
1,1,female,30.0,0,0,S,
1,1,male,52.0,0,0,S,
1,0,male,47.0,0,0,S,207
1,1,female,56.0,0,1,C,
1,0,male,38.0,0,0,S,
1,0,male,22.0,0,0,C,232
1,1,female,43.0,0,1,S,
1,0,male,31.0,0,0,S,
1,1,male,45.0,0,0,S,
1,1,female,33.0,0,0,C,
1,0,male,46.0,0,0,C,16
1,0,male,36.0,0,0,C,
1,1,female,33.0,0,0,S,
1,0,male,55.0,1,0,C,
1,1,female,54.0,1,0,C,
1,0,male,33.0,0,0,S,109
1,1,male,13.0,2,2,C,
1,1,female,18.0,2,2,C,
1,1,female,21.0,2,2,C,
1,0,male,61.0,1,3,C,
1,1,female,48.0,1,3,C,
1,1,female,24.0,0,0,C,
1,1,female,35.0,1,0,C,
1,1,female,30.0,0,0,C,
1,1,male,34.0,0,0,S,
1,1,female,40.0,0,0,S,
1,1,male,35.0,0,0,S,
1,0,male,50.0,1,0,S,
1,1,female,39.0,1,0,S,
1,1,male,56.0,0,0,C,
1,1,male,28.0,0,0,S,
1,0,male,56.0,0,0,S,
1,0,male,56.0,0,0,C,
1,0,male,24.0,1,0,S,
1,1,female,18.0,1,0,S,
1,1,male,24.0,1,0,S,
1,1,female,23.0,1,0,S,
1,1,male,6.0,0,2,C,
1,1,male,45.0,1,1,C,
1,1,female,40.0,1,1,C,
1,0,male,57.0,1,0,C,
1,1,male,32.0,0,0,C,
1,0,male,62.0,0,0,S,
1,1,male,54.0,1,0,C,
1,1,female,43.0,1,0,C,
1,1,female,52.0,1,0,C,
1,1,female,62.0,0,0,"",
1,0,male,67.0,1,0,S,96
1,0,female,63.0,1,0,S,
1,0,male,61.0,0,0,S,46
1,1,female,48.0,0,0,S,
1,1,female,18.0,0,2,S,
1,0,male,52.0,1,1,S,
1,1,female,39.0,1,1,S,
1,1,male,48.0,1,0,S,
1,0,male,49.0,1,1,C,
1,1,male,17.0,0,2,C,
1,1,female,39.0,1,1,C,
1,1,male,31.0,0,0,C,
1,0,male,40.0,0,0,C,
1,0,male,61.0,0,0,S,245
1,0,male,47.0,0,0,S,
1,1,female,35.0,0,0,C,
1,0,male,64.0,1,0,C,
1,1,female,60.0,1,0,C,
1,0,male,60.0,0,0,S,
1,0,male,54.0,0,1,S,
1,0,male,21.0,0,1,S,169
1,1,female,55.0,0,0,C,
1,1,female,31.0,0,2,S,
1,0,male,57.0,1,1,S,
1,1,female,45.0,1,1,S,
1,0,male,50.0,1,1,C,
1,0,male,27.0,0,2,C,
1,1,female,50.0,1,1,C,
1,1,female,21.0,0,0,S,
1,0,male,51.0,0,1,C,
1,1,male,21.0,0,1,C,
1,1,female,31.0,0,0,C,
1,0,male,62.0,0,0,S,
1,1,female,36.0,0,0,C,
2,0,male,30.0,1,0,C,
2,1,female,28.0,1,0,C,
2,0,male,30.0,0,0,S,
2,0,male,18.0,0,0,S,
2,0,male,25.0,0,0,S,
2,0,male,34.0,1,0,S,
2,1,female,36.0,1,0,S,
2,0,male,57.0,0,0,S,
2,0,male,18.0,0,0,S,
2,0,male,23.0,0,0,S,
2,1,female,36.0,0,0,S,
2,0,male,28.0,0,0,S,
2,0,male,51.0,0,0,S,174
2,1,male,32.0,1,0,S,
2,1,female,19.0,1,0,S,
2,0,male,28.0,0,0,S,
2,1,male,1.0,2,1,S,
2,1,female,4.0,2,1,S,
2,1,female,12.0,2,1,S,
2,1,female,36.0,0,3,S,
2,1,male,34.0,0,0,S,
2,1,female,19.0,0,0,S,
2,0,male,23.0,0,0,S,
2,0,male,26.0,0,0,S,
2,0,male,42.0,0,0,S,
2,0,male,27.0,0,0,S,
2,1,female,24.0,0,0,S,
2,1,female,15.0,0,2,S,
2,0,male,60.0,1,1,S,
2,1,female,40.0,1,1,S,
2,1,female,20.0,1,0,S,
2,0,male,25.0,1,0,S,
2,1,female,36.0,0,0,S,
2,0,male,25.0,0,0,S,97
2,0,male,42.0,0,0,S,
2,1,female,42.0,0,0,S,
2,1,male,1.0,0,2,S,
2,1,male,26.0,1,1,S,
2,1,female,22.0,1,1,S,
2,1,female,35.0,0,0,S,
2,0,male,19.0,0,0,S,18
2,0,female,44.0,1,0,S,
2,0,male,54.0,1,0,S,
2,0,male,52.0,0,0,S,130
2,0,male,37.0,1,0,S,17
2,0,female,29.0,1,0,S,
2,1,female,25.0,1,1,S,
2,1,female,45.0,0,2,S,
2,0,male,29.0,1,0,S,
2,1,female,28.0,1,0,S,
2,0,male,29.0,0,0,S,
2,0,male,28.0,0,0,S,
2,1,male,24.0,0,0,S,
2,1,female,8.0,0,2,S,
2,0,male,31.0,1,1,S,
2,1,female,31.0,1,1,S,
2,1,female,22.0,0,0,S,
2,0,female,30.0,0,0,S,
2,0,male,21.0,0,0,S,
2,1,male,8.0,1,1,S,
2,0,male,18.0,0,0,S,
2,1,female,48.0,0,2,S,
2,1,female,28.0,0,0,S,
2,0,male,32.0,0,0,S,
2,0,male,17.0,0,0,S,
2,0,male,29.0,1,0,C,295
2,1,female,24.0,1,0,C,
2,0,male,25.0,0,0,S,
2,0,male,18.0,0,0,S,
2,1,female,18.0,0,1,S,
2,1,female,34.0,0,1,S,
2,0,male,54.0,0,0,S,
2,1,male,8.0,0,2,S,
2,0,male,42.0,1,1,S,
2,1,female,34.0,1,1,S,
2,1,female,27.0,1,0,C,
2,1,female,30.0,1,0,C,
2,0,male,23.0,0,0,S,
2,0,male,21.0,0,0,S,
2,0,male,18.0,0,0,S,
2,0,male,40.0,1,0,S,286
2,1,female,29.0,1,0,S,
2,0,male,18.0,0,0,S,
2,0,male,36.0,0,0,S,236
2,0,female,38.0,0,0,S,
2,0,male,35.0,0,0,S,322
2,0,male,38.0,1,0,S,
2,0,male,34.0,1,0,S,
2,1,female,34.0,0,0,S,
2,0,male,16.0,0,0,S,
2,0,male,26.0,0,0,S,
2,0,male,47.0,0,0,S,
2,0,male,21.0,1,0,S,
2,0,male,21.0,1,0,S,
2,0,male,24.0,0,0,S,297
2,0,male,24.0,0,0,S,155
2,0,male,34.0,0,0,S,
2,0,male,30.0,0,0,S,305
2,0,male,52.0,0,0,S,19
2,0,male,30.0,0,0,S,75
2,1,male,1.0,1,1,S,
2,1,female,24.0,0,2,S,
2,0,male,44.0,0,0,S,35
2,1,female,6.0,0,1,S,
2,0,male,28.0,0,1,S,
2,1,male,62.0,0,0,S,
2,0,male,30.0,0,0,S,
2,1,female,7.0,0,2,S,
2,0,male,43.0,1,1,S,
2,1,female,45.0,1,1,S,
2,1,female,24.0,1,2,S,
2,1,female,24.0,1,2,S,
2,0,male,49.0,1,2,S,
2,1,female,48.0,1,2,S,
2,1,female,55.0,0,0,S,
2,0,male,24.0,2,0,S,
2,0,male,32.0,2,0,S,256
2,0,male,21.0,2,0,S,
2,0,female,18.0,1,1,S,
2,1,female,20.0,2,1,S,
2,0,male,23.0,2,1,S,
2,0,male,36.0,0,0,S,
2,1,female,54.0,1,3,S,
2,0,male,50.0,0,0,S,149
2,0,male,44.0,1,0,S,
2,1,female,29.0,1,0,S,
2,0,male,21.0,0,0,S,
2,1,male,42.0,0,0,S,
2,0,male,63.0,1,0,S,
2,0,female,60.0,1,0,S,
2,0,male,33.0,0,0,S,
2,1,female,17.0,0,0,S,
2,0,male,42.0,1,0,S,
2,1,female,24.0,2,1,S,
2,0,male,47.0,0,0,S,
2,0,male,24.0,2,0,S,
2,0,male,22.0,2,0,S,
2,0,male,32.0,0,0,S,
2,1,female,23.0,0,0,C,
2,0,male,34.0,1,0,S,283
2,1,female,24.0,1,0,S,
2,0,female,22.0,0,0,S,
2,0,male,35.0,0,0,Q,
2,1,female,45.0,0,0,S,
2,0,male,57.0,0,0,Q,
2,0,male,31.0,0,0,S,165
2,0,female,26.0,1,1,S,
2,0,male,30.0,1,1,S,
2,1,female,1.0,1,2,C,
2,1,female,3.0,1,2,C,
2,0,male,25.0,1,2,C,
2,1,female,22.0,1,2,C,
2,1,female,17.0,0,0,C,
2,1,female,34.0,0,0,S,
2,0,male,36.0,0,0,C,
2,0,male,24.0,0,0,S,108
2,0,male,61.0,0,0,Q,
2,0,male,50.0,1,0,S,121
2,1,female,42.0,1,0,S,
2,0,female,57.0,0,0,S,52
2,1,male,1.0,0,2,C,
2,0,male,31.0,1,1,C,
2,1,female,24.0,1,1,C,
2,0,male,30.0,0,0,S,
2,0,male,40.0,0,0,S,
2,0,male,32.0,0,0,S,209
2,0,male,30.0,0,0,S,
2,0,male,46.0,0,0,S,
2,1,female,13.0,0,1,S,
2,1,female,41.0,0,1,S,
2,1,male,19.0,0,0,S,
2,0,male,39.0,0,0,S,
2,0,male,48.0,0,0,S,271
2,0,male,70.0,0,0,S,
2,0,male,27.0,0,0,S,
2,0,male,54.0,0,0,S,
2,0,male,39.0,0,0,S,
2,0,male,16.0,0,0,S,
2,0,male,62.0,0,0,Q,
2,0,male,32.0,1,0,C,43
2,1,female,14.0,1,0,C,
2,1,male,2.0,1,1,S,
2,1,male,3.0,1,1,S,
2,0,male,36.0,0,2,S,15
2,0,male,26.0,0,0,S,
2,0,male,19.0,1,1,S,101
2,0,male,28.0,0,0,S,287
2,1,male,20.0,0,0,C,
2,1,female,29.0,0,0,S,
2,0,male,39.0,0,0,S,
2,1,male,22.0,0,0,S,
2,0,male,23.0,0,0,S,
2,1,male,29.0,0,0,C,
2,0,male,28.0,0,0,S,
2,1,female,50.0,0,1,S,
2,0,male,19.0,0,0,S,
2,0,male,41.0,0,0,S,
2,1,female,21.0,0,1,S,
2,1,female,19.0,0,0,S,
2,0,male,43.0,0,1,S,
2,1,female,32.0,0,0,S,
2,0,male,34.0,0,0,S,
2,1,male,30.0,0,0,C,
2,0,male,27.0,0,0,C,
2,1,female,2.0,1,1,S,
2,1,female,8.0,1,1,S,
2,1,female,33.0,0,2,S,
2,0,male,36.0,0,0,S,
2,0,male,34.0,1,0,S,
2,1,female,30.0,3,0,S,
2,1,female,28.0,0,0,S,
2,0,male,23.0,0,0,C,
2,1,male,1.0,1,1,S,
2,1,male,3.0,1,1,S,
2,1,female,24.0,2,3,S,
2,1,female,50.0,0,0,S,
2,0,male,19.0,0,0,S,
2,1,female,21.0,0,0,S,
2,0,male,26.0,0,0,S,
2,0,male,25.0,0,0,S,
2,0,male,27.0,0,0,S,
2,1,female,25.0,0,1,S,
2,1,female,18.0,0,2,S,
2,1,female,20.0,0,0,S,
2,1,female,30.0,0,0,S,
2,0,male,59.0,0,0,S,
2,1,female,30.0,0,0,Q,
2,0,male,35.0,0,0,S,
2,1,female,40.0,0,0,S,
2,0,male,25.0,0,0,S,
2,0,male,41.0,0,0,C,
2,0,male,25.0,0,0,S,81
2,0,male,18.0,0,0,S,294
2,0,male,14.0,0,0,S,
2,1,female,50.0,0,0,S,
2,0,male,23.0,0,0,S,
2,1,female,28.0,0,0,S,
2,1,female,27.0,0,0,S,
2,0,male,29.0,1,0,S,
2,0,female,27.0,1,0,S,
2,0,male,40.0,0,0,S,
2,1,female,31.0,0,0,S,
2,0,male,30.0,1,0,S,
2,0,male,23.0,1,0,S,
2,1,female,31.0,0,0,S,
2,1,female,12.0,0,0,S,
2,1,female,40.0,0,0,S,
2,1,female,32.0,0,0,S,
2,0,male,27.0,1,0,S,293
2,1,female,29.0,1,0,S,
2,1,male,2.0,1,1,S,
2,1,female,4.0,1,1,S,
2,1,female,29.0,0,2,S,
2,1,female,1.0,1,2,S,
2,1,female,5.0,1,2,S,
2,0,male,36.0,1,2,S,
2,1,female,33.0,1,2,S,
2,0,male,66.0,0,0,S,
2,1,male,31.0,0,0,S,
2,1,female,26.0,0,0,S,
2,0,female,24.0,0,0,S,
3,0,male,42.0,0,0,S,
3,0,male,13.0,0,2,S,
3,0,male,16.0,1,1,S,190
3,1,female,35.0,1,1,S,
3,1,female,16.0,0,0,S,
3,1,male,25.0,0,0,S,
3,1,male,20.0,0,0,S,
3,1,female,18.0,0,0,C,
3,0,male,30.0,0,0,S,72
3,0,male,26.0,0,0,S,103
3,0,female,40.0,1,0,S,
3,1,male,1.0,0,1,S,
3,1,female,18.0,0,1,S,
3,1,male,26.0,0,0,C,
3,0,male,26.0,0,0,S,
3,0,male,20.0,0,0,S,
3,0,male,24.0,0,0,S,
